stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
3637,"Nemenčinės poliklinika",54.852968,25.474320,,,3637,"https://www.visimarsrutai.lt/#/stop/result?stopId=3637",,,,,,,,,,
3745,Pušinė,54.836487,25.551437,,,3745,"https://www.visimarsrutai.lt/#/stop/result?stopId=3745",,,,,,,,,,
3753,"Bezdonių sankryža",54.830932,25.517047,,,3753,"https://www.visimarsrutai.lt/#/stop/result?stopId=3753",,,,,,,,,,
3770,Dvyliškis,54.966240,25.639364,,,3770,"https://www.visimarsrutai.lt/#/stop/result?stopId=3770",,,,,,,,,,
3772,Pervaža,54.812005,25.523408,,,3772,"https://www.visimarsrutai.lt/#/stop/result?stopId=3772",,,,,,,,,,
3784,Akuotninkai,54.860299,25.644716,,,3784,"https://www.visimarsrutai.lt/#/stop/result?stopId=3784",,,,,,,,,,
3793,Stražninkai,54.858775,25.706072,,,3793,"https://www.visimarsrutai.lt/#/stop/result?stopId=3793",,,,,,,,,,
3797,Pridotkai,54.727040,25.668923,,,3797,"https://www.visimarsrutai.lt/#/stop/result?stopId=3797",,,,,,,,,,
3798,Žitniškės,54.804929,25.685326,,,3798,"https://www.visimarsrutai.lt/#/stop/result?stopId=3798",,,,,,,,,,
3799,Adomaičiai,54.669995,25.626571,,,3799,"https://www.visimarsrutai.lt/#/stop/result?stopId=3799",,,,,,,,,,
3812,"Visalaukės sankryža",55.000792,25.351791,,,3812,"https://www.visimarsrutai.lt/#/stop/result?stopId=3812",,,,,,,,,,
3813,"Brinkiškės žiedas",54.808364,25.092208,,,3813,"https://www.visimarsrutai.lt/#/stop/result?stopId=3813",,,,,,,,,,
3817,Jokūnbonys,55.004328,25.367720,,,3817,"https://www.visimarsrutai.lt/#/stop/result?stopId=3817",,,,,,,,,,
3820,"1-ieji Valčiūnai",54.563274,25.262010,,,3820,"https://www.visimarsrutai.lt/#/stop/result?stopId=3820",,,,,,,,,,
3829,Nevieriškės,54.695770,25.637182,,,3829,"https://www.visimarsrutai.lt/#/stop/result?stopId=3829",,,,,,,,,,
3831,Sapiegiškės,54.951223,25.666214,,,3831,"https://www.visimarsrutai.lt/#/stop/result?stopId=3831",,,,,,,,,,
3839,"2-ieji Valčiūnai",54.559121,25.261101,,,3839,"https://www.visimarsrutai.lt/#/stop/result?stopId=3839",,,,,,,,,,
3840,Vilkinė,54.851845,25.718909,,,3840,"https://www.visimarsrutai.lt/#/stop/result?stopId=3840",,,,,,,,,,
3846,Kuosinė,54.631250,25.621325,,,3846,"https://www.visimarsrutai.lt/#/stop/result?stopId=3846",,,,,,,,,,
3851,Baliniai,54.855794,25.621271,,,3851,"https://www.visimarsrutai.lt/#/stop/result?stopId=3851",,,,,,,,,,
3856,Tribilai,54.616710,25.598753,,,3856,"https://www.visimarsrutai.lt/#/stop/result?stopId=3856",,,,,,,,,,
3864,Vėjo,54.567842,25.178656,,,3864,"https://www.visimarsrutai.lt/#/stop/result?stopId=3864",,,,,,,,,,
3869,Stakinės,54.941225,25.488168,,,3869,"https://www.visimarsrutai.lt/#/stop/result?stopId=3869",,,,,,,,,,
3870,"1-ieji Dusinėnai",54.565475,25.274404,,,3870,"https://www.visimarsrutai.lt/#/stop/result?stopId=3870",,,,,,,,,,
3875,"2-osios Putiniškės",54.803616,25.143171,,,3875,"https://www.visimarsrutai.lt/#/stop/result?stopId=3875",,,,,,,,,,
3876,Padvarninkai,54.610967,25.591702,,,3876,"https://www.visimarsrutai.lt/#/stop/result?stopId=3876",,,,,,,,,,
3882,Dirmeitai,55.013133,25.407309,,,3882,"https://www.visimarsrutai.lt/#/stop/result?stopId=3882",,,,,,,,,,
3884,Dasionys,54.927166,25.349604,,,3884,"https://www.visimarsrutai.lt/#/stop/result?stopId=3884",,,,,,,,,,
3885,Naujasėdžiai,54.926595,25.332244,,,3885,"https://www.visimarsrutai.lt/#/stop/result?stopId=3885",,,,,,,,,,
3891,Meškonys,54.931595,25.309025,,,3891,"https://www.visimarsrutai.lt/#/stop/result?stopId=3891",,,,,,,,,,
3892,Barvoniškės,54.581786,25.742294,,,3892,"https://www.visimarsrutai.lt/#/stop/result?stopId=3892",,,,,,,,,,
3893,Pakrauglė,54.875274,25.517456,,,3893,"https://www.visimarsrutai.lt/#/stop/result?stopId=3893",,,,,,,,,,
3895,Pagojis,54.589131,25.738109,,,3895,"https://www.visimarsrutai.lt/#/stop/result?stopId=3895",,,,,,,,,,
3896,Kukutiškės,54.834507,25.495303,,,3896,"https://www.visimarsrutai.lt/#/stop/result?stopId=3896",,,,,,,,,,
